page_name,category_name
system_authorize_stage_privatelink_access,System
system_block_internal_stages_public_access,System
system_cancel_all_queries,System
system_cancel_query,System
system_cleanup_database_role_grants,System
system_commit_move_organization_account,System
system_convert_pipes_sqs_to_sns,System
system_deprovision_privatelink_endpoint,System
system_disable_behavior_change_bundle,System
system_disable_database_replication,System
system_disable_preview_access,System
system_enable_behavior_change_bundle,System
system_enable_preview_access,System
system_global_account_set_parameter,System
system_initiate_move_organization_account,System
system_link_account_objects_by_name,System
system_migrate_saml_idp_registration,System
system_pipe_force_resume,System
system_pipe_rebinding_with_notification_channel,System
system_provision_privatelink_endpoint,System
system_register_privatelink_endpoint,System
system_restore_privatelink_endpoint,System
system_revoke_privatelink,System
system_revoke_stage_privatelink_access,System
system_send_notifications_to_catalog,System
system_set_application_restricted_feature_access,System
system_set_event_sharing_account_for_region,System
system_snowpipe_streaming_update_channel_offset_token,System
system_task_dependents_enable,System
system_unblock_internal_stages_public_access,System
system_unregister_privatelink_endpoint,System
system_unset_event_sharing_account_for_region,System
system_user_task_cancel_ongoing_executions,System
system_wait,System
extract_semantic_categories,System
get_anaconda_packages_repodata,System
show_python_packages_dependencies,System
system_allowlist,System
system_allowlist_privatelink,System
system_auto_refresh_status,System
system_behavior_change_bundle_status,System
system_client_version_info,System
system_clustering_depth,System
system_clustering_information,System
system_clustering_ratio,System
system_current_user_task_name,System
system_database_refresh_history,System
system_database_refresh_progress,System
system_estimate_automatic_clustering_costs,System
system_estimate_search_optimization_costs,System
system_external_table_pipe_status,System
system_finish_oauth_flow,System
system_generate_saml_csr,System
system_generate_scim_access_token,System
system_get_aws_sns_iam_policy,System
system_get_classification_result,System
system_get_cmk_akv_consent_url,System
system_get_cmk_config,System
system_get_cmk_info,System
system_get_cmk_kms_key_policy,System
system_get_compute_pool_status,System
system_get_directory_table_status,System
system_get_gcp_kms_cmk_grant_access_cmd,System
system_get_iceberg_table_information,System
system_get_login_failure_details,System
system_get_preview_access_status,System
system_get_privatelink,System
system_get_privatelink_authorized_endpoints,System
system_get_privatelink_config,System
system_get_privatelink_endpoints_info,System
system_get_privatelink_endpoint_registrations,System
system_get_service_dns_domain,System
system_get_service_logs,System
system_get_service_status,System
system_get_snowflake_platform_info,System
system_get_tag,System
system_get_tag_allowed_values,System
system_get_tag_on_current_column,System
system_get_task_graph_config,System
system_internal_stages_public_access_status,System
system_is_application_installed_from_same_account,System
system_is_application_sharing_events_with_provider,System
system_is_listing_purchased,System
system_is_listing_trial,System
system_last_change_commit_time,System
system_list_application_restricted_features,System
system_list_iceberg_tables_from_catalog,System
system_list_namespaces_from_catalog,System
system_log,System
system_pipe_status,System
system_register_cmk_info,System
system_registry_list_images,System
system_set_return_value,System
system_set_span_attributes,System
system_show_active_behavior_change_bundles,System
system_show_budgets_for_resource,System
system_show_budgets_in_account,System
system_show_event_sharing_accounts,System
system_show_move_organization_account_status,System
system_show_oauth_client_secrets,System
system_stream_get_table_timestamp,System
system_stream_has_data,System
system_task_runtime_info,System
system_typeof,System
system_validate_storage_integration,System
system_verify_catalog_integration,System
system_verify_cmk_info,System
system_verify_ext_oauth_token,System
system_verify_external_volume,System
system_whitelist,System
system_wait_for_services,System
system_whitelist_privatelink,System
explain_json,System
system_explain_plan_json,System
system_explain_json_to_text,System
flatten,Table
infer_schema,Table
validate,Table
generator,Table
split_to_table,Table
strtok_split_to_table,Table
cumulative_privacy_losses,Table
get_object_references,Table
to_query,Table
result_scan,Table
get_query_operator_stats,Table
login_history,Table
query_history,Table
database_storage_usage_history,Table
warehouse_load_history,Table
warehouse_metering_history,Table
stage_storage_usage_history,Table
data_metric_function_references,Table
data_quality_monitoring_results,Table
get_lineage-snowflake-core,Table
network_rule_references,Table
policy_references,Table
tag_references,Table
tag_references_all_columns,Table
tag_references_with_lineage,Table
replication_group_refresh_history,Table
replication_group_refresh_progress,Table
replication_group_usage_history,Table
serverless_alert_history,Table
database_refresh_history,Table
database_refresh_progress,Table
database_replication_usage_history,Table
replication_usage_history,Table
copy_history,Table
data_transfer_history,Table
pipe_usage_history,Table
stage_directory_file_registration_history,Table
validate_pipe_load,Table
automatic_clustering_history,Table
dynamic_table_refresh_history,Table
external_functions_history,Table
auto_refresh_registration_history,Table
external_table_files,Table
external_table_registration_history,Table
iceberg_table_files,Table
iceberg_table_snapshot_refresh_history,Table
available_listing_refresh_history,Table
materialized_view_refresh_history,Table
notification_history,Table
rest_event_history,Table
search_optimization_history,Table
system_stream_backlog,Table
complete_task_graphs,Table
current_task_graphs,Table
serverless_task_history,Table
task_dependents,Table
task_history,Table
cortex_search_data_scan,Table
vector_inner_product,Vector
vector_l1_distance,Vector
vector_l2_distance,Vector
vector_cosine_similarity,Vector
functions-window-syntax,Window
conditional_change_event,Window
conditional_true_event,Window
ratio_to_report,Window
cume_dist,Window
dense_rank,Window
first_value,Window
lag,Window
last_value,Window
lead,Window
nth_value,Window
ntile,Window
percent_rank,Window
rank,Window
row_number,Window
timestampdiff,Date & time
row_count,Data metric
array_unique_agg,Aggregate
