ddl_dml_name,ddl_dml_page_name,ddl_dml_url,ddl_dml_category_array,ddl_dml_category,ddl_dml_description
create user,create-user,https://docs.snowflake.com/en/sql-reference/sql/create-user,ddl,ddl,Creates a new user or replaces an existing user in the system.
create or alter versioned schema,create-versioned-schema,https://docs.snowflake.com/en/sql-reference/sql/create-versioned-schema,ddl,ddl,Creates a new versioned schema or modifies an existing versioned schema.
create view,create-view,https://docs.snowflake.com/en/sql-reference/sql/create-view,ddl,ddl,"Creates a new view in the current/specified schema, based on a query of one or more existing tables (or any other valid query expression)."
create warehouse,create-warehouse,https://docs.snowflake.com/en/sql-reference/sql/create-warehouse,ddl,ddl,Creates a new virtual warehouse in the system.
delete,delete,https://docs.snowflake.com/en/sql-reference/sql/delete,dml,dml,Remove rows from a table.
describe,desc,https://docs.snowflake.com/en/sql-reference/sql/desc,ddl,ddl,Describes the details for the specified object.
describe aggregation policy,desc-aggregation-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-aggregation-policy,ddl,ddl,"Describes the details about an aggregation policy, including the creation date, name, and the SQL expression."
describe alert,desc-alert,https://docs.snowflake.com/en/sql-reference/sql/desc-alert,ddl,ddl,Describes the properties of an alert.
describe application,desc-application,https://docs.snowflake.com/en/sql-reference/sql/desc-application,ddl,ddl,Displays information about a
describe authentication policy,desc-authentication-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-authentication-policy,ddl,ddl,Describes the properties of an authentication policy.
describe available listing,desc-available-listing,https://docs.snowflake.com/en/sql-reference/sql/desc-available-listing,ddl,ddl,Describes the columns in the listings that are available to the user who runs the command.
describe available organization profile,desc-available-organization-profile,https://docs.snowflake.com/en/sql-reference/sql/desc-available-organization-profile,ddl,ddl,Describes the active organization profile that can be associated with organizational listings.
describe catalog integration,desc-catalog-integration,https://docs.snowflake.com/en/sql-reference/sql/desc-catalog-integration,ddl,ddl,Describes the properties of a catalog integration.
describe compute pool,desc-compute-pool,https://docs.snowflake.com/en/sql-reference/sql/desc-compute-pool,ddl,ddl,Describes the properties of a compute pool.
describe cortex search service,desc-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/desc-cortex-search,ddl,ddl,Describes the properties of a Cortex Search service.
describe database,desc-database,https://docs.snowflake.com/en/sql-reference/sql/desc-database,ddl,ddl,Describes the database.
describe dynamic table,desc-dynamic-table,https://docs.snowflake.com/en/sql-reference/sql/desc-dynamic-table,ddl,ddl,Describes the columns in a dynamic table.
describe event table,desc-event-table,https://docs.snowflake.com/en/sql-reference/sql/desc-event-table,ddl,ddl,Describes the columns in an event table.
describe external table,desc-external-table,https://docs.snowflake.com/en/sql-reference/sql/desc-external-table,ddl,ddl,Describes the VALUE column and virtual columns in an external table.
describe external volume,desc-external-volume,https://docs.snowflake.com/en/sql-reference/sql/desc-external-volume,ddl,ddl,Describes the properties of an external volume.
describe file format,desc-file-format,https://docs.snowflake.com/en/sql-reference/sql/desc-file-format,ddl,ddl,"Describes the property type (for example, String or Integer), the defined value of the property, and the default value for each property in a file format object definition."
describe function,desc-function,https://docs.snowflake.com/en/sql-reference/sql/desc-function,ddl,ddl,"Describes the specified user-defined function (UDF) or external function, including the signature (i.e. arguments), return value, language, and body (i.e. definition)."
describe git repository,desc-git-repository,https://docs.snowflake.com/en/sql-reference/sql/desc-git-repository,ddl,ddl,Describes an existing Git repository stage.
describe iceberg table,desc-iceberg-table,https://docs.snowflake.com/en/sql-reference/sql/desc-iceberg-table,ddl,ddl,"Describes either the columns in an Apache Iceberg™ table or the current values, as well as the default values, for the properties of an Iceberg table."
describe integration,desc-integration,https://docs.snowflake.com/en/sql-reference/sql/desc-integration,ddl,ddl,Describes the properties of an integration.
describe join policy,desc-join-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-join-policy,ddl,ddl,"Describes the details about a join policy, including the creation date, name, and the SQL expression."
describe listing,desc-listing,https://docs.snowflake.com/en/sql-reference/sql/desc-listing,ddl,ddl,Describes the columns in a listing.
describe masking policy,desc-masking-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-masking-policy,ddl,ddl,"Describes the details about a masking policy, including the creation date, name, data type, and SQL expression."
describe materialized view,desc-materialized-view,https://docs.snowflake.com/en/sql-reference/sql/desc-materialized-view,ddl,ddl,Describes the columns in a materialized view.
describe model monitor,desc-model-monitor,https://docs.snowflake.com/en/sql-reference/sql/desc-model-monitor,ddl,ddl,Displays information about a specific model monitor.
describe network policy,desc-network-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-network-policy,ddl,ddl,Describes the properties specified for a network policy.
describe network rule,desc-network-rule,https://docs.snowflake.com/en/sql-reference/sql/desc-network-rule,ddl,ddl,Describes the properties specified for a network rule.
describe notebook,desc-notebook,https://docs.snowflake.com/en/sql-reference/sql/desc-notebook,ddl,ddl,Describes the properties of a notebook.
describe notification integration,desc-notification-integration,https://docs.snowflake.com/en/sql-reference/sql/desc-notification-integration,ddl,ddl,Describes the properties of a notification integration.
describe organization profile,desc-organization-profile,https://docs.snowflake.com/en/sql-reference/sql/desc-organization-profile,ddl,ddl,Describes the properties of an organization profile.
describe packages policy,desc-packages-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-packages-policy,ddl,ddl,Describes the details about a packages policy.
describe password policy,desc-password-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-password-policy,ddl,ddl,Describes the details about a password policy.
describe pipe,desc-pipe,https://docs.snowflake.com/en/sql-reference/sql/desc-pipe,ddl,ddl,"Describes the properties specified for a pipe, as well as the default values of the properties."
describe privacy policy,desc-privacy-policy,https://docs.snowflake.com/en/sql-reference/sql/desc-privacy-policy,ddl,ddl,Describes the properties of a privacy policy.
describe procedure,desc-procedure,https://docs.snowflake.com/en/sql-reference/sql/desc-procedure,ddl,ddl,"Describes the specified stored procedure, including the stored procedure’s signature (i.e. arguments), return value, language, and body (i.e. definition)."
